category,cost,cuisine,featured,location,names,rating,reviews,urls
Fine Dining,"Rs. 2,800","Asian,Cantonese,Chinese",Best of Mumbai,"Linking Road, Bandra West","Yauatcha
                                    ",4.9,"(6,513 Reviews)",https://www.zomato.com/mumbai/yauatcha-linking-road-bandra-west
Quick Bites,Rs. 200,"South Indian,Beverages","Great Breakfasts,Regional Favorites,Best of Mumbai",Matunga East,"Hotel Ram Ashraya
                                    ",4.9,"(5,471 Reviews)",https://www.zomato.com/mumbai/hotel-ram-ashraya-matunga-east
Casual Dining,"Rs. 1,200",Gujarati,"Terrific Thalis,Best of Mumbai",Kalbadevi,"Shree Thaker Bhojanalay
                                    ",4.9,"(1,777 Reviews)",https://www.zomato.com/mumbai/shree-thaker-bhojanalay-kalbadevi
Dessert Parlor,Rs. 150,"Desserts,Ice Cream","Legendary Outlets,Best of Mumbai",Churchgate,"K. Rustom Ice Cream
                                    ",4.9,"(3,591 Reviews)",https://www.zomato.com/mumbai/k-rustom-ice-cream-churchgate
Bakery,Rs. 100,"Bakery,Fast Food,Desserts",Best of Mumbai,Grant Road,"B Merwan & Co
                                    ",4.9,"(1,949 Reviews)",https://www.zomato.com/mumbai/b-merwan-co-grant-road
Café,Rs. 500,"Cafe,Fast Food,Spanish",Best of Mumbai,Marol,"Bombay To Barcelona Library Café
                                    ",4.9,"(1,183 Reviews)",https://www.zomato.com/mumbai/bombay-to-barcelona-library-café-marol
Bakery,Rs. 200,"Bakery,Fast Food","Sweet Tooth,Best of Mumbai",Near Andheri West Station,"Merwans Cake Stop
                                    ",4.8,"(2,091 Reviews)",https://www.zomato.com/mumbai/merwans-cake-stop-near-andheri-west-station
Quick Bites,Rs. 250,South Indian,"Legendary Outlets,Great Breakfasts,Best of Mumbai",Matunga East,"Cafe Madras
                                    ",4.8,"(5,184 Reviews)",https://www.zomato.com/mumbai/cafe-madras-matunga-east
Fine Dining,"Rs. 4,200",Seafood,"Super Seafood,Best of Mumbai","Linking Road, Bandra West","Bastian
                                    ",4.8,"(2,598 Reviews)",https://www.zomato.com/mumbai/bastian-linking-road-bandra-west
Casual Dining,Rs. 800,"Chettinad,South Indian",Best of Mumbai,"Versova, Andheri West","The Tanjore Tiffin Room
                                    ",4.8,"(1,417 Reviews)",https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova
Fine Dining,"Rs. 4,000","North Indian,Asian,Continental,Italian,Desserts","Sunday Brunches,Luxury Dining,Wine & Dine,Sneak Peek Mumbai,Best of Mumbai","JW Marriott Mumbai Sahar, Chakala","JW Café - JW Marriott Mumbai Sahar
                                    ",4.8,"(1,944 Reviews)",https://www.zomato.com/mumbai/jw-café-jw-marriott-mumbai-sahar-chakala
Fine Dining,"Rs. 2,600","Chinese,Cantonese,Asian",Best of Mumbai,"Linking Road, Bandra West","Hakkasan
                                    ",4.8,"(2,955 Reviews)",https://www.zomato.com/mumbai/hakkasan-linking-road-bandra-west
Quick Bites,Rs. 150,"Fast Food,Maharashtrian","Great Breakfasts,Best of Mumbai",Dadar Shivaji Park,"Prakash Shakahari Upahaar Kendra
                                    ",4.8,"(1,250 Reviews)",https://www.zomato.com/mumbai/prakash-shakahari-upahaar-kendra-dadar-shivaji-park
Dessert Parlor,Rs. 350,"Ice Cream,Desserts,Beverages",Best of Mumbai,"Linking Road, Bandra West","Coppetto Artisan Gelato
                                    ","4.8,4.7",,https://www.zomato.com/mumbai/coppetto-artisan-gelato-linking-road-bandra-west
Fine Dining,"Rs. 5,000",Modern Indian,Best of Mumbai,"First International Financial Centre, Bandra Kurla Complex","Masala Library
                                    ",4.8,"(4,292 Reviews)",https://www.zomato.com/mumbai/masala-library-bandra-kurla-complex
Bakery,Rs. 400,"Bakery,Desserts,Fast Food",Best of Mumbai,"Hill Road, Bandra West","Hearsch Bakery
                                    ",4.7,"(2,592 Reviews)",https://www.zomato.com/mumbai/hearsch-bakery-hill-road-bandra-west
Fine Dining,"Rs. 3,000","Egyptian,Turkish,Lebanese,Moroccan,Greek",Best of Mumbai,Juhu,"Bayroute
                                    ",4.7,"(1,544 Reviews)",https://www.zomato.com/mumbai/bayroute-juhu
Casual Dining,Rs. 900,"Salad,Healthy Food,Juices","Healthy Eats,Best of Mumbai","Linking Road, Bandra West","Bombay Salad Co.
                                    ",4.7,"(3,235 Reviews)",https://www.zomato.com/bombaysalad
Quick Bites,Rs. 100,Street Food,Best of Mumbai,Prabhadevi,"Ashok Vada Pav Stall
                                    ",4.7,"(1,123 Reviews)",https://www.zomato.com/mumbai/ashok-vada-pav-stall-prabhadevi
,Rs. 400,"Italian,Chinese,Burger,Sandwich,Salad,Fast Food",Best of Mumbai,Nerul,"The Big Cloud Kitchen
                                    ",4.7,(155 Reviews),https://www.zomato.com/mumbai/the-big-cloud-kitchen-1-nerul-navi-mumbai
Casual Dining,"Rs. 1,300","North Indian,Kebab,BBQ,Chinese",Best of Mumbai,Nerul,"Barbeque Nation
                                    ",4.7,"(2,452 Reviews)",https://www.zomato.com/mumbai/barbeque-nation-nerul-navi-mumbai
Fine Dining,"Rs. 4,500","Spanish,Italian,European,Bar Food,Asian,Continental",Best of Mumbai,"Four Seasons, Worli","Aer - Four Seasons
                                    ",4.7,"(3,080 Reviews)",https://www.zomato.com/mumbai/aer-four-seasons-worli
Fine Dining,"Rs. 10,000","Japanese,Sushi",Best of Mumbai,"The Taj Mahal Palace, Colaba","Wasabi By Morimoto - The Taj Mahal Palace
                                    ",4.7,(681 Reviews),https://www.zomato.com/mumbai/wasabi-by-morimoto-the-taj-mahal-palace-colaba
Café,Rs. 700,"Cafe,Desserts",Best of Mumbai,Fort,"Starbucks Coffee
                                    ",4.7,"(2,208 Reviews)",https://www.zomato.com/mumbai/starbucks-coffee-fort
"Fine Dining,Bar","Rs. 2,600","Sushi,Asian,Chinese,Thai,Japanese",,Colaba,"Pa Pa Ya
                                    ",4.7,"(1,489 Reviews)",https://www.zomato.com/mumbai/pa-pa-ya-colaba
Dessert Parlor,Rs. 200,"Ice Cream,Desserts",Best of Mumbai,Mulund West,"Kwality Wall's
                                    ",4.7,(350 Reviews),https://www.zomato.com/mumbai/kwality-walls-1-mulund-west
Quick Bites,Rs. 400,South Indian,"Regional Favorites,Legendary Outlets,Best of Mumbai",Matunga East,"A.Rama Nayak's Udipi Shri Krishna Boarding
                                    ",4.7,"(1,151 Reviews)",https://www.zomato.com/mumbai/a-rama-nayaks-udipi-shri-krishna-boarding-matunga-east
Café,"Rs. 1,000","Cafe,Tea","Insta-Worthy,Best of Mumbai","Reclamation, Bandra West","Taj Mahal Tea House
                                    ",4.7,"(1,362 Reviews)",https://www.zomato.com/mumbai/taj-mahal-tea-house-reclamation-bandra-west
Quick Bites,Rs. 800,"Pizza,Fast Food","Value For Money,Gourmet Pizza,Best of Mumbai",Malad West,"Joey's Pizza
                                    ","4.8,4.3",,https://www.zomato.com/mumbai/joeys-pizza-malad-west
Dessert Parlor,Rs. 900,"Bakery,Desserts","Sweet Tooth,Best of Mumbai",Powai,"Poetry by Love and Cheesecake
                                    ","4.8,4.4",,https://www.zomato.com/mumbai/poetry-by-love-and-cheesecake-2-powai
Casual Dining,"Rs. 1,200","Italian,Mexican,Mediterranean,Desserts","For The Family,Best of Mumbai",Dadar Shivaji Park,"Ovenfresh
                                    ",4.6,"(3,655 Reviews)",https://www.zomato.com/mumbai/ovenfresh-dadar-shivaji-park
Casual Dining,Rs. 400,South Indian,Best of Mumbai,Juhu,"Dakshinayan
                                    ","4.6,4.5",,https://www.zomato.com/mumbai/dakshinayan-juhu
Casual Dining,"Rs. 2,500","European,Italian,American,Salad,Desserts,Beverages",Best of Mumbai,"Pali Hill, Bandra West","Smoke House Deli
                                    ","4.8,4.3",,https://www.zomato.com/SmokeHouseDeli-Pali
Casual Dining,Rs. 300,"Maharashtrian,South Indian,Fast Food",Best of Mumbai,Charni Road,"Vinay Health Home
                                    ",4.6,"(1,076 Reviews)",https://www.zomato.com/mumbai/vinay-health-home-charni-road
Fine Dining,"Rs. 2,500","North Indian,Continental,Seafood,Salad","Romantic,Legendary Outlets,Best of Mumbai",Mahalaxmi,"Gallops
                                    ",4.6,"(2,202 Reviews)",https://www.zomato.com/mumbai/gallops-mahalaxmi
"Bar,Casual Dining","Rs. 1,400","Chinese,North Indian,Biryani,American,Continental","Beer in a Bar,Best of Mumbai","Palladium Mall, Lower Parel","Palladium Social
                                    ",4.6,"(8,323 Reviews)",https://www.zomato.com/PalladiumSocial
Casual Dining,"Rs. 1,800","Goan,Continental,Beverages",Best of Mumbai,Bandra Kurla Complex,"O Pedro
                                    ",4.6,"(1,621 Reviews)",https://www.zomato.com/mumbai/o-pedro-bandra-kurla-complex
,Rs. 400,"Fast Food,Street Food,Pizza,Beverages",Best of Mumbai,Borivali West,"81 Olives
                                    ",4.6,(86 Reviews),https://www.zomato.com/mumbai/81-olives-borivali-west
Quick Bites,Rs. 350,"North Indian,Street Food",Best of Mumbai,Chowpatty,"Crystal
                                    ",4.6,"(1,782 Reviews)",https://www.zomato.com/mumbai/crystal-chowpatty
Casual Dining,"Rs. 1,000","German,European,Continental,Burger","Value For Money,Meat Cravings,Best of Mumbai","Hill Road, Bandra West","Imbiss
                                    ","4.8,4.3",,https://www.zomato.com/mumbai/imbiss-hill-road-bandra-west
Casual Dining,"Rs. 1,600","Asian,Burmese,Bubble Tea,Desserts,Salad",Best of Mumbai,Fort,"Burma  Burma
                                    ","4.9,4.3",,https://www.zomato.com/mumbai/burma-burma-fort
,Rs. 150,"Ice Cream,Desserts",Best of Mumbai,Ghatkopar East,"NIC - Natural Ice Creams
                                    ",4.6,(164 Reviews),https://www.zomato.com/mumbai/nic-natural-ice-creams-ghatkopar-east
Café,"Rs. 1,200","Cafe,American,European",Best of Mumbai,Fort,"The Nutcracker
                                    ","4.7,4.4",,https://www.zomato.com/mumbai/the-nutcracker-fort
Dessert Parlor,Rs. 300,"Ice Cream,Desserts",Best of Mumbai,Powai,"Natural Ice Cream
                                    ","4.6,4.6",,https://www.zomato.com/mumbai/natural-ice-cream-powai
Café,"Rs. 3,500","Cafe,Italian","Sea View,Best of Mumbai","The Taj Mahal Palace, Colaba","Sea Lounge - The Taj Mahal Palace
                                    ",4.6,(801 Reviews),https://www.zomato.com/mumbai/sea-lounge-the-taj-mahal-palace-colaba
"Casual Dining,Bar","Rs. 2,200","Italian,American,Continental","Gourmet Pizza,Best of Mumbai",Colaba,"Woodside Inn
                                    ",4.6,"(1,607 Reviews)",https://www.zomato.com/mumbai/woodside-inn-colaba
Fine Dining,"Rs. 4,200",Thai,"Pan-Asian Delicacies,Best of Mumbai","President, Cuffe Parade","Thai Pavilion - President, Mumbai - IHCL SeleQtions
                                    ",4.6,(631 Reviews),https://www.zomato.com/mumbai/thai-pavilion-president-mumbai-ihcl-seleqtions-cuffe-parade
,Rs. 300,Fast Food,Best of Mumbai,"Versova, Andheri West","Huckin' Fungry!
                                    ",4.6,(75 Reviews),https://www.zomato.com/mumbai/huckin-fungry-versova
Beverage Shop,Rs. 200,"Beverages,Mithai",Best of Mumbai,Vasai,"Shree Om Dairy Farm
                                    ",4.6,(346 Reviews),https://www.zomato.com/mumbai/shree-om-dairy-farm-vasai
Fine Dining,"Rs. 5,000",Italian,"Luxury Dining,Romantic,Best of Mumbai","JW Marriott Mumbai Sahar, Chakala","Romano's - JW Marriott Mumbai Sahar
                                    ",4.6,(763 Reviews),https://www.zomato.com/mumbai/romanos-jw-marriott-mumbai-sahar-chakala
"Microbrewery,Casual Dining","Rs. 2,300","American,Seafood,Continental",Best of Mumbai,Bandra Kurla Complex,"Gateway Taproom
                                    ",4.6,"(1,300 Reviews)",https://www.zomato.com/mumbai/gateway-taproom-bandra-kurla-complex
,Rs. 400,"Healthy Food,Beverages",Best of Mumbai,Chandivali,"Swap Habits
                                    ",4.6,"(1,718 Reviews)",https://www.zomato.com/mumbai/swap-habits-chandivali
Quick Bites,Rs. 150,Fast Food,Best of Mumbai,Borivali West,"Shailesh Sweetcorn
                                    ",4.6,(152 Reviews),https://www.zomato.com/mumbai/shailesh-sweetcorn-borivali-west
,Rs. 700,"Modern Indian,Asian",Best of Mumbai,Vile Parle West,"The Takeout
                                    ",4.6,(102 Reviews),https://www.zomato.com/mumbai/the-takeout-vile-parle-west
Sweet Shop,Rs. 200,Mithai,Best of Mumbai,Kalbadevi,"Mohanlal S Mithaiwala
                                    ",4.6,(91 Reviews),https://www.zomato.com/mumbai/mohanlal-s-mithaiwala-kalbadevi
Quick Bites,Rs. 700,"Burger,Fast Food","Kickass Burgers,Best of Mumbai",Malad West,"Jimis Burger
                                    ","4.8,4.1",,https://www.zomato.com/mumbai/jimis-burger-malad-west
Bakery,Rs. 900,"Bakery,Desserts,Fast Food,Beverages","Sweet Tooth,Best of Mumbai",Powai,"Theobroma
                                    ","4.6,4.4",,https://www.zomato.com/mumbai/theobroma-powai
Quick Bites,Rs. 400,"South Indian,Sandwich,Beverages",Best of Mumbai,Matunga East,"Arya Bhavan
                                    ","4.6,4.3",,https://www.zomato.com/mumbai/arya-bhavan-matunga-east
"Casual Dining,Bar","Rs. 1,600","Mexican,Italian,Continental,Salad,Asian","Legendary Outlets,Best of Mumbai","Oshiwara, Andheri West","Sammy Sosa
                                    ","4.9,4.1",,https://www.zomato.com/mumbai/sammy-sosa-oshiwara
Quick Bites,Rs. 300,"Maharashtrian,South Indian,Street Food,Desserts",Best of Mumbai,Dadar West,"Aaswad
                                    ","4.7,4.2",,https://www.zomato.com/mumbai/aaswad-2-dadar-west
Casual Dining,Rs. 700,"Malwani,Seafood,Maharashtrian",Best of Mumbai,Dadar West,"Chaitanya
                                    ","4.7,4.2",,https://www.zomato.com/mumbai/chaitanya-dadar-west
"Fine Dining,Bar","Rs. 2,200","Thai,Korean,Japanese,Chinese",Best of Mumbai,"Oshiwara, Andheri West","Yazu - Pan Asian Supper Club
                                    ","4.7,4.3",,https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara
"Sweet Shop,Quick Bites",Rs. 200,"Mithai,Street Food","Legendary Outlets,Best of Mumbai",Mahakali,"Gulati's
                                    ",4.5,"(1,464 Reviews)",https://www.zomato.com/mumbai/gulatis-mahakali
Dessert Parlor,Rs. 200,"Bakery,Desserts",Best of Mumbai,"Pali Hill, Bandra West","Le 15 Patisserie
                                    ","4.5,4.4",,https://www.zomato.com/mumbai/le-15-patisserie-pali-hill-bandra-west
Casual Dining,"Rs. 1,500","Malwani,Seafood,Maharashtrian,North Indian","Best of Mumbai,Super Seafood",Vile Parle East,"Gajalee
                                    ","4.6,4.4",,https://www.zomato.com/mumbai/gajalee-vile-parle-east
,Rs. 150,"Juices,Fast Food","Best of Mumbai,
                                                                                        ₹50 off on all orders above ₹149
                                        ",Mohammad Ali Road,"Sip N Snack
                                    ",4.5,(104 Reviews),https://www.zomato.com/mumbai/sip-n-snack-mohammad-ali-road
Casual Dining,"Rs. 1,800","Japanese,Thai,Sushi","Pan-Asian Delicacies,Best of Mumbai","Pali Hill, Bandra West","Blue's Kitchen By Loima
                                    ","4.6,4.3",,https://www.zomato.com/mumbai/blues-kitchen-by-loima-pali-hill-bandra-west
Casual Dining,"Rs. 1,000","Burger,Fast Food,American","Kickass Burgers,Meat Cravings,Best of Mumbai",Malad West,"Stacks And Racks
                                    ","4.8,4.2",,https://www.zomato.com/mumbai/stacks-and-racks-malad-west
Café,"Rs. 1,000","Cafe,Salad,Healthy Food,Fast Food,Desserts,Beverages",Best of Mumbai,"Vasant Vihar, Thane West","D'Crepes Cafe
                                    ","4.7,4.3",,https://www.zomato.com/mumbai/dcrepes-cafe-vasant-vihar-thane-west
Casual Dining,"Rs. 1,600","Italian,American,Mexican,Continental,Beverages","On the Outskirts,Best of Mumbai",Kharghar,"Cafe Monza
                                    ","4.7,4.2",,https://www.zomato.com/mumbai/cafe-monza-kharghar-navi-mumbai
Bakery,Rs. 300,"Bakery,Desserts",,Vile Parle East,"7th Heaven
                                    ","4.3,4.6",,https://www.zomato.com/mumbai/7th-heaven-vile-parle-east
Sweet Shop,Rs. 400,"Mithai,Street Food",,Ulhasnagar,"A-1 Sweets
                                    ",,,https://www.zomato.com/mumbai/a-1-sweets-ulhasnagar-thane
"Bar,Casual Dining","Rs. 2,500","Continental,North Indian,Thai,Italian","Boozy Bars,Best of Mumbai,Rooftops","Andheri Lokhandwala, Andheri West","Sin City Rooftop Resto & Lounge
                                    ",4.5,"(1,578 Reviews)",https://www.zomato.com/mumbai/sin-city-rooftop-resto-lounge-andheri-lokhandwala
Quick Bites,Rs. 350,"Kebab,Fast Food,Rolls","Kebab Places,Best of Mumbai",Jogeshwari,"Farid Seekh Kebab Centre
                                    ",4.5,"(1,087 Reviews)",https://www.zomato.com/mumbai/farid-seekh-kebab-centre-jogeshwari
Casual Dining,Rs. 800,"Gujarati,Street Food",Regional Favorites,Grant Road,"Soam
                                    ","4.4,4.5",,https://www.zomato.com/mumbai/soam-grant-road
Fine Dining,"Rs. 2,500","Asian,European,Seafood","Sea View,Super Seafood,Romantic,Best of Mumbai",Juhu,"Estella
                                    ",4.5,"(1,277 Reviews)",https://www.zomato.com/mumbai/estella-juhu
Quick Bites,Rs. 450,Maharashtrian,Best of Mumbai,"Panch Pakhadi, Thane West","MH-09 Shetkari
                                    ",4.5,(755 Reviews),https://www.zomato.com/mumbai/mh-09-shetkari-panch-pakhadi-thane-west
,Rs. 300,"Healthy Food,Desserts,Bakery",Best of Mumbai,Ghodbunder Road,"Dough & Crème
                                    ",4.5,(59 Reviews),https://www.zomato.com/mumbai/dough-crème-ghodbunder-road-thane
Casual Dining,"Rs. 2,200","Seafood,North Indian","Super Seafood,Best of Mumbai",Fort,"Trishna
                                    ",4.5,(967 Reviews),https://www.zomato.com/mumbai/trishna-fort
Dessert Parlor,Rs. 800,"Ice Cream,Desserts",,Powai,"Häagen-Dazs
                                    ","4.4,4.5",,https://www.zomato.com/mumbai/häagen-dazs-powai
Dessert Parlor,Rs. 300,"Ice Cream,Desserts","Best of Mumbai,
                                                                                        10% off on your first order
                                        ","Andheri Lokhandwala, Andheri West","Belo Pops
                                    ","4.6,4.3",,https://www.zomato.com/mumbai/belo-pops-andheri-lokhandwala
Dessert Parlor,Rs. 250,"Ice Cream,Desserts",,Santacruz West,"Gokul Ice Creams
                                    ","4.2,4.8",,https://www.zomato.com/mumbai/gokul-ice-creams-santacruz-west
,Rs. 400,"North Indian,Fast Food,Italian,Desserts,Beverages",Best of Mumbai,Vile Parle West,"The Comfort Zone
                                    ",4.5,(51 Reviews),https://www.zomato.com/mumbai/the-comfort-zone-vile-parle-west
Casual Dining,"Rs. 1,000","Parsi,Iranian,Biryani","Legendary Outlets,Irani Cafés,Best of Mumbai",Fort,"Britannia & Company Restaurant
                                    ",4.5,"(3,003 Reviews)",https://www.zomato.com/mumbai/britannia-company-restaurant-fort
Casual Dining,Rs. 850,"Konkan,Malwani,North Indian,Seafood","Best of Mumbai,Super Seafood","Pali Hill, Bandra West","Jai Hind Lunch Home
                                    ",4.5,(838 Reviews),https://www.zomato.com/mumbai/jai-hind-lunch-home-pali-hill-bandra-west
Quick Bites,Rs. 400,"Parsi,Iranian,Biryani,Fast Food","Irani Cafés,Great Breakfasts,Best of Mumbai",Mahim,"Cafe Irani Chaii
                                    ","4.6,4.3",,https://www.zomato.com/mumbai/cafe-irani-chaii-mahim
,Rs. 400,Chinese,,Jogeshwari,"Chatkara House
                                    ",,,https://www.zomato.com/mumbai/chatkara-house-jogeshwari
,Rs. 200,Desserts,Best of Mumbai,Near Andheri West Station,"Moussestruck
                                    ",4.5,"(1,847 Reviews)",https://www.zomato.com/mumbai/moussestruck-near-andheri-west-station
,Rs. 300,"Chinese,North Indian,Biryani","Best of Mumbai,
                                                                                        30% off on all orders above ₹149
                                        ",Nerul,"Sai Darshan Rasoi
                                    ",4.5,(91 Reviews),https://www.zomato.com/mumbai/sai-darshan-rasoi-nerul-navi-mumbai
,Rs. 450,"Chinese,Momos",Best of Mumbai,Malad West,"Food Hub
                                    ",4.5,(203 Reviews),https://www.zomato.com/mumbai/food-hub-malad-west
Fine Dining,"Rs. 3,000","North Indian,Mughlai,Lucknowi","Luxury Dining,Kebab Places,Best of Mumbai","ITC Grand Central, Parel","Kebabs & Kurries - ITC Grand Central
                                    ",4.5,(731 Reviews),https://www.zomato.com/mumbai/kebabs-kurries-itc-grand-central-parel
Bakery,Rs. 200,"Bakery,Desserts",Best of Mumbai,"Andheri Lokhandwala, Andheri West","Layers Of Love
                                    ",4.5,(101 Reviews),https://www.zomato.com/mumbai/layers-of-love-andheri-lokhandwala
Fine Dining,"Rs. 2,300","Asian,Chinese,Thai","Pan-Asian Delicacies,Best of Mumbai","The Gordon House Hotel, Colaba","All Stir Fry - Gordon House Hotel
                                    ",4.5,"(1,801 Reviews)",https://www.zomato.com/mumbai/all-stir-fry-gordon-house-hotel-colaba
"Bar,Casual Dining","Rs. 2,000","Mexican,European,Spanish",Best of Mumbai,"The Gordon House Hotel, Colaba","Havana Café & Bar - The Gordon House Hotel
                                    ",4.5,"(3,110 Reviews)",https://www.zomato.com/mumbai/havana-café-bar-the-gordon-house-hotel-colaba
,Rs. 350,"Healthy Food,North Indian","Food Hygiene Rated Restaurants In Mumbai,Best of Mumbai","Manpada, Thane West","Khichdi Experiment by Ola Foods
                                    ",4.5,(748 Reviews),https://www.zomato.com/mumbai/khichdi-experiment-by-ola-foods-manpada-thane-west-thane
Fine Dining,"Rs. 4,000","Chinese,North Indian,Italian,European,Desserts",Best of Mumbai,"The St. Regis, Lower Parel","Seven Kitchens - The St. Regis Mumbai
                                    ",4.5,"(1,723 Reviews)",https://www.zomato.com/mumbai/seven-kitchens-the-st-regis-mumbai-lower-parel
"Bakery,Dessert Parlor",Rs. 300,"Bakery,Desserts",Best of Mumbai,Veera Desai Area,"Toujours
                                    ",4.5,(168 Reviews),https://www.zomato.com/mumbai/toujours-veera-desai-area
Dessert Parlor,Rs. 300,"Ice Cream,Desserts",Best of Mumbai,Juhu,"Bay Cream
                                    ",4.5,(111 Reviews),https://www.zomato.com/baycream
"Fine Dining,Bar","Rs. 3,500","North Indian,Mughlai","Wine & Dine,Best of Mumbai","The St. Regis, Lower Parel","The Sahib Room & Kipling Bar - The St. Regis Mumbai
                                    ",4.5,(970 Reviews),https://www.zomato.com/mumbai/the-sahib-room-kipling-bar-the-st-regis-mumbai-lower-parel
Bakery,Rs. 350,"Bakery,Desserts",Best of Mumbai,"Castle Mill, Thane West","The Cakeway
                                    ",4.5,(59 Reviews),https://www.zomato.com/mumbai/the-cakeway-1-castle-mill-thane-west-thane
,Rs. 200,Momos,"Best of Mumbai,
                                                                                        10% off on your first order
                                        ",Fort,"Yummy Momos
                                    ",4.5,(184 Reviews),https://www.zomato.com/mumbai/yummy-momos-fort
Dessert Parlor,Rs. 400,"Desserts,Bakery",Best of Mumbai,Powai,"Loco For Cocoa
                                    ",4.5,(348 Reviews),https://www.zomato.com/mumbai/loco-for-cocoa-powai
,Rs. 600,"Bakery,Desserts",Best of Mumbai,Lower Parel,"Sassy Teaspoon
                                    ",4.5,(234 Reviews),https://www.zomato.com/mumbai/sassy-teaspoon-lower-parel
,Rs. 300,Desserts,"Best of Mumbai,
                                                                                        10% off on your first order
                                        ",Worli,"Ambriona Chocolates
                                    ",4.5,(72 Reviews),https://www.zomato.com/mumbai/ambriona-chocolates-worli
,Rs. 500,"North Indian,Biryani,Chinese,Rolls","Best of Mumbai,
                                                                                        20% off on your first order
                                        ",Azad Nagar,"Gravies & Tikkas
                                    ",4.5,(82 Reviews),https://www.zomato.com/mumbai/gravies-tikkas-azad-nagar
Fine Dining,"Rs. 3,300",North Indian,"Kebab Places,Best of Mumbai","Sofitel, Bandra Kurla Complex","Jyran - Sofitel
                                    ",4.5,"(1,159 Reviews)",https://www.zomato.com/mumbai/jyran-sofitel-bandra-kurla-complex
Dessert Parlor,Rs. 150,Ice Cream,Best of Mumbai,"Pali Hill, Bandra West","Frugurpop
                                    ",4.5,(525 Reviews),https://www.zomato.com/mumbai/frugurpop-pali-hill-bandra-west
Dessert Parlor,Rs. 300,"Desserts,Bakery",Best of Mumbai,Sewri,"Thanksgiving Patisserie And Confectionery
                                    ",4.5,(49 Reviews),https://www.zomato.com/mumbai/thanksgiving-patisserie-and-confectionery-sewri
,Rs. 800,Biryani,"Best of Mumbai,
                                                                                        20% off on all orders above ₹99
                                        ",Chembur,"Matka Mahal
                                    ",4.5,(74 Reviews),https://www.zomato.com/mumbai/matka-mahal-chembur
,Rs. 250,North Indian,"Best of Mumbai,
                                                                                        10% off on your first order
                                        ",Near Andheri East Station,"Only Rotis
                                    ",4.5,"(1,108 Reviews)",https://www.zomato.com/mumbai/only-rotis-near-andheri-east-station
Bakery,Rs. 250,Bakery,Best of Mumbai,Malad West,"Rrenitz Cakes & More
                                    ",4.5,(56 Reviews),https://www.zomato.com/mumbai/rrenitz-cakes-more-malad-west
,Rs. 900,"Asian,Japanese",Best of Mumbai,"Hill Road, Bandra West","Oki Poki By Mamagoto
                                    ",4.5,(78 Reviews),https://www.zomato.com/mumbai/oki-poki-by-mamagoto-hill-road-bandra-west
,Rs. 200,South Indian,Best of Mumbai,Vile Parle West,"N P Iyer Bhavan
                                    ",4.5,(45 Reviews),https://www.zomato.com/mumbai/n-p-iyer-bhavan-vile-parle-west
,Rs. 500,North Indian,Best of Mumbai,Malad West,"Sauteed Stories
                                    ",4.5,(159 Reviews),https://www.zomato.com/mumbai/sauteed-stories-malad-west
,Rs. 250,Bakery,Best of Mumbai,"Linking Road, Bandra West","Mad Hatters Treats
                                    ",4.5,(71 Reviews),https://www.zomato.com/mumbai/mad-hatters-treats-linking-road-bandra-west
Bakery,Rs. 600,"Bakery,Desserts",Best of Mumbai,"Hiranandani Estate, Thane West","Cuisson Amour
                                    ",4.5,(71 Reviews),https://www.zomato.com/mumbai/cuisson-amour-hiranandani-estate-thane-west-thane
,"Rs. 1,000","Healthy Food,Bakery,Desserts,Ice Cream",Best of Mumbai,"Majiwada, Thane West","The Keto Me
                                    ",4.5,(52 Reviews),https://www.zomato.com/mumbai/the-keto-me-majiwada-thane-west-thane
Bakery,Rs. 400,"Bakery,Desserts",Best of Mumbai,Kopar Khairane,"Heaven
                                    ",4.5,(56 Reviews),https://www.zomato.com/mumbai/heaven-kopar-khairane-navi-mumbai
,Rs. 200,"Sandwich,Fast Food",Best of Mumbai,Vasai,"Sandwiches N More
                                    ",4.5,(123 Reviews),https://www.zomato.com/mumbai/sandwiches-n-more-vasai
Sweet Shop,Rs. 200,"Mithai,Street Food",Best of Mumbai,Near Andheri East Station,"Raghukrupa Sweets
                                    ",4.5,(55 Reviews),https://www.zomato.com/mumbai/raghukrupa-sweets-2-near-andheri-east-station
,Rs. 200,Fast Food,Best of Mumbai,"Majiwada, Thane West","Irani's High On Food
                                    ",4.5,(54 Reviews),https://www.zomato.com/mumbai/iranis-high-on-food-majiwada-thane-west-thane
Quick Bites,Rs. 300,"Fast Food,Sandwich,Healthy Food",Best of Mumbai,Tardeo,"Be Right Back
                                    ",4.5,(64 Reviews),https://www.zomato.com/mumbai/be-right-back-tardeo
,Rs. 200,"Bakery,Desserts",Best of Mumbai,Borivali West,"Sweetbuds
                                    ",4.5,(44 Reviews),https://www.zomato.com/mumbai/sweetbuds-borivali-west
,Rs. 400,"Fast Food,North Indian,Chinese",Best of Mumbai,Juhu,"Imly And Chillis
                                    ",4.5,(63 Reviews),https://www.zomato.com/mumbai/imly-and-chillis-juhu
,Rs. 400,"Maharashtrian,Chinese",Best of Mumbai,Kharghar,"Sharayu's Kitchen
                                    ",4.5,(67 Reviews),https://www.zomato.com/mumbai/sharayus-kitchen-kharghar-navi-mumbai
