category,cost,cuisine,featured,location,names,rating,reviews,urls
,Rs. 350,"Rolls,Fast Food,North Indian","
                                                                                        20% off on your first order
                                        ","Pali Hill, Bandra West","Tawaa Mystery
                                    ",4.1,(339 Reviews),https://www.zomato.com/mumbai/tawaa-mystery-pali-hill-bandra-west
Casual Dining,"Rs. 1,500","North Indian,Chinese,Continental",,CBD-Belapur,"The Joker Bistro
                                    ","4.2,4.0",,https://www.zomato.com/mumbai/the-joker-bistro-cbd-belapur-navi-mumbai
Quick Bites,Rs. 400,"North Indian,Fast Food",,Borivali East,"Paratha Zone
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/paratha-zone-borivali-east
Casual Dining,Rs. 800,"North Indian,Chinese,Biryani,Malwani,Kebab,Konkan","Super Seafood,Terrific Thalis",Borivali West,"Pangat
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/pangat-borivali-west
Bakery,Rs. 250,"Bakery,Desserts",,Mahim,"The Cake Studio
                                    ","4.0,4.2",,https://www.zomato.com/mumbai/the-cake-studio-mahim
Quick Bites,Rs. 200,Sandwich,,Vile Parle West,"Lucky Sandwich & Pizza Corner
                                    ","4.1,4.1",,https://www.zomato.com/mumbai/lucky-sandwich-pizza-corner-vile-parle-west
Casual Dining,Rs. 650,"Pizza,Italian,Fast Food,Beverages","Late Night Restaurants,Gourmet Pizza,Best of Mumbai,
                                                                                        10% off on all orders from 11:00 am to 11:00 pm
                                        ",Kandivali West,"Pizzaah! District
                                    ","4.5,3.7",,https://www.zomato.com/mumbai/pizzaah-district-kandivali-west
Bakery,Rs. 400,"Bakery,Desserts,Fast Food",,Kharghar,"Cakes & Candies
                                    ",4.1,"(1,221 Reviews)",https://www.zomato.com/mumbai/cakes-candies-kharghar-navi-mumbai
Casual Dining,Rs. 700,"North Indian,Chinese,Malwani,Goan",,"Panch Pakhadi, Thane West","Saiemaa's Family Restaurant & Bar
                                    ","3.9,4.3",,https://www.zomato.com/mumbai/saiemaas-family-restaurant-bar-panch-pakhadi-thane-west
Casual Dining,"Rs. 1,400","North Indian,Asian,Continental,Lebanese,Salad",,Dahisar West,"Royale Masterchef Finedine and Bar
                                    ","4.3,3.8",,https://www.zomato.com/mumbai/royale-masterchef-finedine-and-bar-dahisar-west
Casual Dining,"Rs. 1,000","Chinese,Thai,Seafood",Desi Chinese,Malad West,"The Peking Tom
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/the-peking-tom-malad-west
Casual Dining,Rs. 550,"North Indian,Chinese,Kerala",,Chembur,"Udaya Lunch Home
                                    ","4.0,4.2",,https://www.zomato.com/mumbai/udaya-lunch-home-chembur
Café,Rs. 600,"Cafe,Arabian,Lebanese",,Chembur,"Toum
                                    ","4.1,4.1",,https://www.zomato.com/mumbai/toum-chembur
